"gene","variance","is_hvg"
"SCGB2A2",9.57359901137918,TRUE
"SCGB1D2",7.00420402681261,TRUE
"S100A7",5.96884251432684,TRUE
"TFF1",5.07310212954619,TRUE
"S100A8",4.84444314804066,TRUE
"LTF",4.71556559594422,TRUE
"KRT14",4.69666597856015,TRUE
"PIP",4.50978956064773,TRUE
"SCGB2A1",4.48211187691776,TRUE
"CPB1",4.47568124361893,TRUE
"NPY1R",4.41889347694569,TRUE
"TFAP2B",4.3973156300536,TRUE
"CXCL13",4.05820198016169,TRUE
"FABP4",3.96658839872446,TRUE
"NAT1",3.95637385190197,TRUE
"ESR1",3.66809524146182,TRUE
"S100P",3.66594318886216,TRUE
"KRT15",3.6358330189072,TRUE
"GRIA2",3.58017486544738,TRUE
"AGR2",3.27684545456962,TRUE
"CYP2B6",3.24285037449726,TRUE
"CYP2B7P",3.24285037449726,TRUE
"CEACAM6",3.22095726966377,TRUE
"CXCL14",3.13253824107811,TRUE
"SCUBE2",3.12097741974178,TRUE
"IGH",3.11371551513979,TRUE
"IGHA1",3.11371551513979,TRUE
"IGHA2",3.11371551513979,TRUE
"TFF3",3.00380018126889,TRUE
"MMP1",2.98820367032118,TRUE
"PROM1",2.96184411032253,TRUE
"SLC1A1",2.90275211073533,TRUE
"IGKV1-39",2.8849244351619,TRUE
"IGKV1D-39",2.8849244351619,TRUE
"AGTR1",2.88149619272931,TRUE
"PDZK1",2.87119638435236,TRUE
"S100A9",2.87068549927274,TRUE
"ZBTB18",2.78157009100057,TRUE
"ADH1B",2.74415266529773,TRUE
"UGT2B28",2.7352612289928,TRUE
"H2BC8",2.7171264926417,TRUE
"NCALD",2.7171264926417,TRUE
"ASPN",2.70617098957237,TRUE
"AZGP1",2.65975236717473,TRUE
"SPP1",2.64444793404443,TRUE
"ADIPOQ",2.60086909749578,TRUE
"SFRP1",2.59928019779515,TRUE
"GABRP",2.53474818672717,TRUE
"IGHG1",2.48571987063618,TRUE
"IGHG3",2.48571987063618,TRUE
"IGHM",2.48571987063618,TRUE
"IGHV4-31",2.48571987063618,TRUE
"JCHAIN",2.46948164873607,TRUE
"APOD",2.45769980427386,TRUE
"MAGEA3",2.45608899488087,TRUE
"CYP4B1",2.4484881246601,TRUE
"TFPI2",2.43826142078519,TRUE
"IGKV4-1",2.43656960745687,TRUE
"CYAT1",2.40667900107278,TRUE
"IGLC1",2.40667900107278,TRUE
"IGLC2",2.40667900107278,TRUE
"IGLC3",2.40667900107278,TRUE
"IGLJ3",2.40667900107278,TRUE
"IGLV1-44",2.40667900107278,TRUE
"IGLV3-25",2.40667900107278,TRUE
"IGLV4-3",2.40667900107278,TRUE
"TOX3",2.39745521888306,TRUE
"KRT19",2.38739025505549,TRUE
"DNAJC12",2.38459313388874,TRUE
"IGKV1-17",2.36500640381898,TRUE
"VTCN1",2.36109453647034,TRUE
"CA2",2.33498978296342,TRUE
"CA12",2.30898081565868,TRUE
"TCN1",2.29936087396565,TRUE
"KRT7",2.25680213623052,TRUE
"CRISP3",2.25634333193277,TRUE
"SERPINA1",2.22795120997852,TRUE
"ALDH3B2",2.20906031361578,TRUE
"CD24",2.20548372448134,TRUE
"MYBPC1",2.18416313071031,TRUE
"BAMBI",2.18051089609077,TRUE
"AREG",2.17143111417558,TRUE
"GREB1",2.15654992766547,TRUE
"EEF1A2",2.12506621210168,TRUE
"SLPI",2.10348524908558,TRUE
"FOS",2.09943534750279,TRUE
"COMP",2.08153243216897,TRUE
"FABP7",2.068708226449,TRUE
"CALML5",2.06239520692693,TRUE
"COL11A1",2.05663634789476,TRUE
"MAGEA6",2.02092242932871,TRUE
"COL14A1",2.00872827736713,TRUE
"TMC5",1.9954151650161,TRUE
"SERPINA3",1.99212662980072,TRUE
"CXCL9",1.98377050535077,TRUE
"STC2",1.94812552585053,TRUE
"ID4",1.94309073877957,TRUE
"C8orf44-SGK3",1.94151698386559,TRUE
"SGK3",1.94151698386559,TRUE
"KRT23",1.92884564024673,TRUE
"GJA1",1.92051275021237,TRUE
"SCD5",1.89804362379112,TRUE
"HMGCS2",1.89783393834475,TRUE
"TBC1D9",1.89728485809527,TRUE
"C4A",1.88554458034492,TRUE
"C4B",1.88554458034492,TRUE
"C4B_2",1.88554458034492,TRUE
"GRB14",1.88188547988766,TRUE
"CDH1",1.87394817690763,TRUE
"KRT17",1.87388956525201,TRUE
"IGF1R",1.86643278007664,TRUE
"CRABP1",1.86475749855343,TRUE
"COL10A1",1.83612801982028,TRUE
"ELF5",1.81548096962535,TRUE
"DHRS2",1.81038769685304,TRUE
"IGHV1-69",1.78897113443334,TRUE
"IGHV1-69-2",1.78897113443334,TRUE
"RARRES1",1.78854426275488,TRUE
"PSPH",1.77686264401724,TRUE
"PSPHP1",1.77686264401724,TRUE
"PEG10",1.77617663832868,TRUE
