"module","gene","kME"
"turquoise","BUB1B",0.888247449694722
"turquoise","CDC20",0.883456424425948
"turquoise","DLGAP5",0.880317336477566
"turquoise","CEP55",0.874491204666676
"turquoise","MELK",0.870943550064505
"yellow","CHRDL1",0.878501747529131
"yellow","ABCA8",0.859551432724357
"yellow","CCL14",0.857959211518615
"yellow","CCL15-CCL14",0.857959211518615
"yellow","SYNE3",0.857093404854575
"green","LCK",0.935024364788405
"green","CD2",0.932969276940165
"green","TRBC1",0.92991098447244
"green","TRBV19",0.92991098447244
"green","CD3D",0.928274320526416
"greenyellow","IGKV1OR2-108",0.965022116121867
"greenyellow","IGKV1-17",0.959929393781886
"greenyellow","IGKV1-37",0.956997683019496
"greenyellow","IGKV1D-37",0.956997683019496
"greenyellow","IGKV1D-13",0.952414425123722
"red","GAGE1",0.777293353709998
"red","GAGE12B",0.777293353709998
"red","GAGE12C",0.777293353709998
"red","GAGE12D",0.777293353709998
"red","GAGE12E",0.777293353709998
"brown","FBN1",0.938440458344657
"brown","FSTL1",0.914530305739255
"brown","SPON1",0.90649404197855
"brown","MMP2",0.897902651978244
"brown","PCOLCE",0.897600972736099
"lightcyan","H2BC9",0.874428795806066
"lightcyan","H2BC6",0.87385086630875
"lightcyan","H2BC7",0.863628552300946
"lightcyan","H1-2",0.856462860894456
"lightcyan","H2AC7",0.832601198083513
"blue","ARFIP1",0.824041658600935
"blue","WDR11",0.801101422998904
"blue","SACM1L",0.793290871671236
"blue","ZCCHC10",0.791889426693931
"blue","RALGAPA1",0.789600345243333
"grey60","AKR1D1",0.865321899506068
"grey60","HPD",0.786573829690387
"grey60","GGT1",0.784045619714909
"grey60","GGT2P",0.784045619714909
"grey60","GGTLC1",0.784045619714909
"tan","SMIM10L1",0.696618426328282
"tan","CAMK2G",0.691330142641358
"tan","DPP8",0.67674748128415
"tan","PSMD13",0.669002230129484
"tan","PCMT1",0.647903064081152
"magenta","FCER1G",0.925682625667775
"magenta","TYROBP",0.913478750291984
"magenta","ITGB2",0.903727989517224
"magenta","HLA-DMB",0.897547585975861
"magenta","LAIR1",0.894248657721791
"pink","SPIN1",0.905303618291221
"pink","PPP1R12A",0.88080662844405
"pink","ZBTB38",0.859327152765586
"pink","RAB14",0.847343263678112
"pink","YY1",0.837869262340263
"midnightblue","IFIT3",0.912178189857393
"midnightblue","IFI44",0.887372312681328
"midnightblue","PSMB9",0.88560850274206
"midnightblue","IFIH1",0.881763272636907
"midnightblue","MX1",0.878353209111876
"cyan","APPBP2",0.850099096863649
"cyan","CLTC",0.836920938804536
"cyan","TACO1",0.81385182021834
"cyan","PSMC5",0.813648618423803
"cyan","SUPT4H1",0.798189827972396
"purple","PCDHGA1",0.885602217200856
"purple","PCDHGA10",0.885602217200856
"purple","PCDHGA11",0.885602217200856
"purple","PCDHGA12",0.885602217200856
"purple","PCDHGA2",0.885602217200856
"salmon","ZNF160",0.932109257738511
"salmon","FBXW12",0.914917192792918
"salmon","PRR11",0.909083221295459
"salmon","DBT",0.908082212195213
"salmon","MORN3",0.907740273792744
"black","YIPF5",0.846428625652198
"black","PSMC3",0.839246903615713
"black","RBBP4",0.827060224555984
"black","MED6",0.806828592934619
"black","ARPC4-TTLL3",0.797898640998709
